date_week_id,shipments_units,gross_revenue,trade_spend,net_revenue_after_trade,trade_spend_pct,weighted_list_price,weighted_net_price,price_realization,gross_revenue_roll4,trade_spend_pct_roll4,price_realization_roll4
201101,19,808,51.4,756.6,0.06361386138613861,350.8333,325.8,0.9286461689925102,NA,NA,NA
201102,262,25329,2174.13,23154.87,0.08583560345848633,7398.501692063493,6180.874622777778,0.8354224787713592,NA,NA,NA
201103,410,27840,2635.4700000000003,25204.53,0.09466487068965518,8625.594371524032,7250.493970631174,0.8405790555799235,NA,NA,NA
201104,313,19783,1743.87,18039.13,0.0881499267047465,5574.337865284895,4891.053265210698,0.8774231816249488,18440,0.08306606555975665,0.8705177212421855
201105,364,17044,2518.34,14525.66,0.14775522177892514,7715.56650605042,5791.335657310924,0.7506040746028765,22499,0.1041014056579533,0.826007197644777
201106,306,20720,2204.21,18515.79,0.10638079150579151,7930.850741230159,6677.888638333333,0.8420141616859532,21346.75,0.10923770266977957,0.8276551183734255
201107,322,23130,1375.05,21754.95,0.05944876783398184,6541.080221346155,5689.649716584249,0.8698333492404897,20169.25,0.10043367695586125,0.834968691788567
201108,315,27505,2485.13,25019.87,0.09035193601163426,6158.452486222944,5418.1277404329,0.8797872115687794,22099.75,0.10098417928258319,0.8355596992745247
201109,329,24852,1798.58,23053.42,0.07237164010944792,8559.36078228355,7390.584037521645,0.8634504638265654,24051.75,0.08213828386521388,0.8637712965804469
201110,423,31316,3570.45,27745.55,0.11401360326989397,10496.29866014652,8666.886928456544,0.8257088721535637,26700.75,0.0840464868062395,0.8596949741973495
201111,358,26275,1580.07,24694.93,0.06013587059942911,6898.083074353833,5955.262025745904,0.8633212968812721,27487,0.08421826249760132,0.8580669611075451
201112,382,45316,15104.609999999999,30211.39,0.33331737134786826,7299.38849599061,5214.1025342831845,0.7143204580968904,31939.75,0.14495962133165982,0.8167002727395729
201113,404,25111,2435.31,22675.69,0.09698180080442834,7071.612116709287,5892.409693664326,0.8332484299784118,32004.5,0.15111216150540493,0.8091497642775345
201114,483,32260,3704.07,28555.93,0.11481928084314942,10400.915575301342,8624.463683560247,0.8292023544581433,32240.5,0.1513135808987188,0.8100231348536794
201115,485,32150,2149.35,30000.649999999998,0.0668538102643857,6867.994633286665,5917.611169131028,0.8616214026217384,33709.25,0.15299306581495792,0.809598161288796
201116,472,23633,1773.99,21859.01,0.07506410527652012,6012.510417612509,5340.890994071704,0.8882963393171972,28288.5,0.08842974929712089,0.8530921315938726
